,,12/31/24,Outbound Calls,,,,,Inbound Calls,,,,,Revenue,,,,,,,,,,,CAC,,,,Single Jobs,,,,,,,,,,,,,,GBA,,,,,,,SOLD ESTIMATES,,,MANPOWER,,,,,,SOLD HOURS,,,,,,,,,,,,,,,SJ<$100,,,,,,,Recalls,,,,,,,SJ Repair %,,,,,,,SJ Repair Avg$$,,,,,,,Opportunity TO %,,,,,,,TO Conversion %,,,,,,,Conversion $AVG,,,,,,,SJ MKTEstimates,,,,,,SJ MKTE Conv %,,,,,,,SJ MKTE Conv $,,,,,,,Airflow PRJ MIX %,,,,,,,AF PRJ AVG $,,,,,,Equip MIX %,,,,,,,Equip AVG $,,,,,,,SVC PRJ %,,,,,,,SVC PRJ AVG $,,,,,,,Tech Count,,,,,Sales Tech Count,,,,,Installers Count,,,,,Techs Term,,,,,Sales Techs Term,,,,,Installer Term,,,,,Clubs,,,,,NPS,,,,
45627,12/01/24,,,,,,,,,,,,$0,0.0%,$0,,$0,$0,,,$0,$0,0.0%,$0,,0,,0,,0,,,,0,,,,,0,0,,,,,,,,0.0%,$0,$0,,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45627,12/01/24,,,,,,,,,,,,$0,,$0,,$0,$0,,,$0,$0,,$0,,0,,0,,0,,,,0,0.0%,,,,0,0,0.0%,,,,,,,,$0,$0,,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45627,12/01/24,,,,,,,,,,,,$0,,$0,,$0,$0,,,$0,$0,,$0,,0,,0,,0,,,,0,,,,,0,0,,,,,,,,,$0,$0,,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45627,12/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,0,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45627,12/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,0,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45627,12/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,0,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45627,12/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,0,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559701.BAKERSFIELD HVAC AOR,11/01/24,01.BAKERSFIELD HVAC AOR,,,,,,,,,,,"$203,611",684.9%,"$356,962",204.5%,"$2,651","$3,098",,"$554,824","$560,573","$560,573",274.4%,"$33,634",297,686,128.8%,49,213.0%,49,0,0,317,317,180.1%,317,120,246,366,366,181.2%,"$4,155","$1,126",$22,$13,"$1,532","$1,532",151.4%,"$576,153","$576,153",174.4%,366,4,14,0,67,3,15.5,,196.3,$29.29,41.0,$293.00,43.1,$278.92,"1,001.5",$542.00,851.6,$637.39,"1,058.0",,,47,303,,112,238,,350,1,27,,28,,,28,4.08%,4.10%,,5.83%,3.25%,,4.10%,$989.50,$728.43,,$412.38,"$1,109.75",,$761.06,87.76%,54.89%,,43.33%,67.07%,,59.29%,20.93%,14.94%,16.13%,15.38%,16.36%,,16.13%,"$22,201.67","$12,011.65","$14,631.94","$20,963.00","$12,756.07",,"$14,631.94",,,,,,,,,,,,,,,,,,,,,97.84%,92.50%,94.46%,,,,,"$12,425.94","$7,228.04","$8,591.43",,,,,5.33%,3.38%,,,,3.38%,,"$9,367.00","$9,367.00",,,,"$9,367.00",0.79%,1.37%,2.17%,,,,2.17%,"$1,463.33",$952.88,"$1,092.09",,,,"$1,092.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559701.BAKERSFIELD HVAC MKT,11/01/24,01.BAKERSFIELD HVAC MKT,,,,,,,,,,,"$6,499",20.8%,"$31,115",41.7%,$0,$0,$0,"$37,614","$37,614","$37,614",35.5%,"$2,257",,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,,0,0,0.0%,"$3,250","$15,558",,,"$9,404","$9,404",310.8%,"$18,032","$18,032",28.7%,4,0,8,0,19,1,0.0,,0.0,,3.0,"$1,361.00",0.9,"$4,803.53",34.0,$986.21,33.8,$991.45,37.0,,,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,25.00%,17.39%,12.50%,28.57%,,17.39%,,"$9,003.75","$9,003.75","$12,250.00","$5,757.50",,"$9,003.75",2,2,4,4,4,16.0%,0.00%,50.00%,25.00%,,,25.00%,25.00%,$0.00,"$9,016.00",,,,"$18,032.00","$18,032.00",100.00%,86.88%,89.14%,,,,,"$6,499.00","$9,010.67","$8,382.75",,,,,0.00%,0.00%,,,,0.00%,,,,,,,,0.00%,10.86%,10.86%,,,,10.86%,,$816.60,$816.60,,,,$816.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559702.FRESNO HVAC AOR,11/01/24,02.FRESNO HVAC AOR,,,,,,,,,,,"$49,543",265.6%,"$105,481",225.5%,$799,$654,,"$153,571","$155,024","$155,024",329.1%,"$9,301",69,715,177.2%,13,185.7%,13,0,0,136,136,154.5%,136,77,72,149,149,155.2%,"$3,811",$776,$10,$9,"$1,040","$1,040",212.1%,"$102,645","$102,645",131.0%,149,2,10,0,21,1,2.8,,52.7,$27.59,29.8,$796.34,25.1,$942.36,277.3,$468.46,295.1,$440.12,309.8,,,11,130,,72,69,,141,0,17,,17,,,17,15.38%,3.68%,,5.19%,4.17%,,4.70%,$189.00,$221.17,,$209.20,$219.67,,$213.13,38.46%,61.76%,,49.35%,70.83%,,59.73%,0.00%,14.29%,13.48%,21.05%,7.84%,,13.48%,,"$7,932.08","$7,932.08","$7,399.50","$8,997.25",,"$7,932.08",,,,,,,,,,,,,,,,,,,,,100.00%,77.32%,84.57%,,,,,"$9,825.40","$8,075.30","$8,658.67",,,,,0.00%,0.00%,,,,0.00%,,,,,,,,,15.43%,15.43%,,,,15.43%,,"$2,632.33","$2,632.33",,,,"$2,632.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559702.FRESNO HVAC MKT,11/01/24,02.FRESNO HVAC MKT,,,,,,,,,,,"$12,001",181.0%,"$22,171",57.9%,$0,$0,$0,"$34,172","$34,172","$34,172",76.1%,"$2,050",18,683,202.9%,3,37.5%,3,0,0,3,3,11.0%,3,4,2,6,6,75.0%,"$1,000","$3,167",$0,$0,"$1,799","$1,799",136.2%,"$67,627","$67,627",181.3%,19,0,2,0,14,1,0.0,,0.0,,,,,,20.0,"$1,684.65",38.4,$877.42,20.0,,,3,3,,4,2,,6,0,1,,1,,,1,0.00%,0.00%,,0.00%,0.00%,,0.00%,,,,,,,,33.33%,266.67%,,125.00%,200.00%,,150.00%,20.00%,33.33%,11.11%,0.00%,25.00%,,11.11%,"$49,127.00",,"$49,127.00",,"$49,127.00",,"$49,127.00",9,4,13,13,13,50.0%,11.11%,0.00%,7.69%,,,7.69%,7.69%,"$2,055.56",$0.00,,,,"$18,500.00","$18,500.00",100.00%,97.84%,98.60%,,,,,"$6,000.50","$10,846.00","$8,423.25",,,,,0.00%,0.00%,,,,0.00%,,,,,,,,,1.40%,1.40%,,,,1.40%,,$479.00,$479.00,,,,$479.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559703.VISALIA HVAC AOR,11/01/24,03.VISALIA HVAC AOR,,,,,,,,,,,"$60,277",388.6%,"$158,161",81.1%,$95,$118,,"$218,225","$218,438","$218,438",112.0%,"$13,106",60,1008,68.9%,13,162.5%,13,0,0,93,93,87.7%,93,42,64,106,106,89.1%,"$4,637","$1,701",$2,$2,"$2,061","$2,061",125.7%,"$236,324","$236,324",87.0%,106,1,11,0,20,1,14.5,,27.4,$7.76,38.0,$457.95,19.6,$886.05,303.8,$661.15,339.0,$592.35,356.3,,,13,91,,41,63,,104,1,6,,7,,,7,0.00%,2.15%,,2.38%,1.56%,,1.89%,,$313.00,,$276.00,$350.00,,$313.00,123.08%,88.17%,,69.05%,107.81%,,92.45%,31.25%,17.07%,19.39%,20.69%,18.84%,,19.39%,"$12,132.20","$11,566.57","$11,715.42","$9,304.00","$12,828.38",,"$11,715.42",,,,,,,,,,,,,,,,,,,,,85.17%,94.64%,92.03%,,,,,"$12,814.25","$9,347.88","$10,041.15",,,,,,0.00%,,,,,,,,,,,,4.09%,3.88%,7.97%,,,,7.97%,"$4,462.50","$1,211.00","$1,933.56",,,,"$1,933.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559703.VISALIA HVAC MKT,11/01/24,03.VISALIA HVAC MKT,,,,,,,,,,,$0,0.0%,"$13,731",25.5%,$0,$0,$0,"$13,731","$13,731","$13,731",17.6%,$824,,0,0.0%,0,0.0%,0,0,0,5,5,250.0%,5,1,4,5,5,62.5%,$0,"$1,526",$0,$0,$723,$723,27.8%,$0,$0,0.0%,19,0,3,0,8,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0,5,,1,4,,5,0,0,,0,,,0,,0.00%,,0.00%,0.00%,,0.00%,,,,,,,,,60.00%,,100.00%,50.00%,,60.00%,,71.43%,33.33%,100.00%,0.00%,,33.33%,,"$13,105.00","$13,105.00","$13,105.00",,,"$13,105.00",10,4,14,14,14,63.6%,0.00%,0.00%,0.00%,,,0.00%,0.00%,$0.00,$0.00,,,,,,,95.44%,95.44%,,,,,,"$6,552.50","$6,552.50",,,,,0.00%,0.00%,,,,0.00%,,,,,,,,,4.56%,4.56%,,,,4.56%,,$313.00,$313.00,,,,$313.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559704.PASO HVAC AOR,11/01/24,04.PASO HVAC AOR,,,,,,,,,,,"$26,385",24.9%,"$41,797",45.3%,"$1,345",$0,,"$66,837","$68,182","$68,182",34.4%,"$4,091",58,455,248.3%,9,13.8%,9,0,0,36,36,54.5%,36,29,16,45,45,34.4%,"$2,932","$1,161",$46,$0,"$1,515","$1,515",100.1%,"$81,993","$81,993",29.7%,45,0,,0,10,0,1.3,,10.5,$128.59,2.0,$0.00,1.6,$0.00,108.3,$617.43,85.2,$784.93,111.5,,,9,31,,25,15,,40,0,2,,2,,,2,0.00%,13.89%,,13.79%,6.25%,,11.11%,,$563.20,,$596.75,$429.00,,$563.20,44.44%,41.67%,,37.93%,50.00%,,42.22%,50.00%,40.00%,42.11%,27.27%,62.50%,,42.11%,"$9,507.50","$7,061.67","$7,673.13","$6,944.67","$8,110.20",,"$7,673.13",,,,,,,,,,,,,,,,,,,,,30.49%,100.00%,72.66%,,,,,"$8,015.00","$6,758.50","$6,938.00",,,,69.51%,,27.34%,,,,27.34%,"$9,135.50",,"$9,135.50",,,,"$9,135.50",,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559704.PASO HVAC MKT,11/01/24,04.PASO HVAC MKT,,,,,,,,,,,$0,0.0%,"$1,669",5.2%,$0,$0,$0,"$1,669","$1,669","$1,669",4.2%,$100,,0,,0,,0,0,0,0,0,0.0%,0,,,0,0,0.0%,$0,"$1,669",,,$556,$556,12.7%,$0,$0,,3,0,2,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33%,,100.00%,100.00%,,,100.00%,"$18,271.00",,"$18,271.00","$18,271.00",,,"$18,271.00",2,1,3,3,3,37.5%,0.00%,0.00%,0.00%,,,0.00%,0.00%,$0.00,$0.00,,,,,,,0.00%,0.00%,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,100.00%,100.00%,,,,100.00%,,$834.50,$834.50,,,,$834.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559705.SALINAS HVAC AOR,11/01/24,05.SALINAS HVAC AOR,,,,,,,,,,,"$80,429",243.3%,"$35,571",48.8%,$628,"$1,324",,"$114,048","$116,000","$116,000",344.9%,"$6,960",220,366,344.9%,19,100.0%,19,0,0,36,36,327.3%,36,27,28,55,55,183.3%,"$4,233",$988,$23,$47,"$2,109","$2,109",188.2%,"$127,906","$127,906",677.1%,55,1,1,0,11,0,16.5,,22.4,$87.07,4.0,$902.25,2.6,"$1,372.24",192.5,$573.71,152.4,$724.67,213.0,,,15,33,,22,26,,48,1,5,,6,,,6,21.05%,8.33%,,18.52%,7.14%,,12.73%,"$1,240.75",$617.67,,"$1,098.40",$662.00,,$973.71,78.95%,41.67%,,55.56%,53.57%,,54.55%,46.67%,20.00%,33.33%,33.33%,33.33%,,33.33%,"$14,785.57","$3,498.00","$11,399.30","$16,096.80","$6,701.80",,"$11,399.30",,,,,,,,,,,,,,,,,,,,,51.38%,100.00%,66.13%,,,,,"$13,603.67","$5,768.83","$8,380.44",,,,44.08%,,30.70%,,,,30.70%,"$17,507.50",,"$17,507.50",,,,"$17,507.50",3.16%,,3.16%,,,,3.16%,"$3,609.00",,"$3,609.00",,,,"$3,609.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559705.SALINAS HVAC MKT,11/01/24,05.SALINAS HVAC MKT,,,,,,,,,,,"$7,515",72.0%,$0,,$0,$0,$0,"$7,515","$7,515","$7,515",69.5%,$451,,0,,0,,0,0,0,0,0,,0,,,0,0,,"$3,758",$0,,,"$2,505","$2,505",23.2%,$0,$0,,3,0,2,0,6,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00%,0.00%,0.00%,,,0.00%,,,,,,,,2,1,3,3,3,300.0%,50.00%,0.00%,33.33%,,,33.33%,33.33%,"$4,007.50",$0.00,,,,"$8,015.00","$8,015.00",100.00%,,100.00%,,,,,"$3,757.50",,"$3,757.50",,,,,,0.00%,,,,0.00%,,,,,,,,0.00%,0.00%,0.00%,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597ADMIN,11/01/24,ADMIN,,,,,,,,,,,$0,,$0,,$0,$0,,,$0,$0,,$0,,0,,0,,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,,$0,$0,,0,0,,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,,$0,,$0,$0,,,$0,$0,,$0,,0,,0,,0,,,,,,,,,0,0,,,,,,,,,$0,$0,,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,,0,,0,,,,,,,,,0,0,,,,,,,,0.0%,$0,$0,,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,,$0,,$0,$0,,,$0,$0,,$0,,0,,0,,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,,$0,,$0,$0,,,$0,$0,,$0,,0,,0,,0,,,,,,,,,0,0,,,,,,,,,$0,$0,,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45597,11/01/24,,,,,,,,,,,,$0,0.0%,$0,0.0%,$0,$0,,,$0,$0,0.0%,$0,,0,0.0%,0,0.0%,0,,,,,0.0%,,,,0,0,0.0%,,,,,,,0.0%,$0,$0,0.0%,0,0,,0,0,0,,,,,,,,,,,,,0.0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
